"","day","1","2","3","4","5","median"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,0,0
"7",7,0,0,0,0,0,0
"8",8,0,0,0,0,0,0
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0
"11",11,0,0,0,0,0,0
"12",12,0,1,0,0,0,0
"13",13,0,1,0,0,0,0
"14",14,0,1,0,0,0,0
"15",15,0,1,1,0,1,1
"16",16,0,1,1,0,1,1
"17",17,0,1,1,0,1,1
"18",18,0,1,1,0,1,1
"19",19,0,1,0,0,1,0
"20",20,0,1,0,0,1,0
"21",21,0,1,3,0,1,1
"22",22,0,2,4,0,1,1
"23",23,0,3,4,0,1,1
"24",24,0,2,5,0,3,2
"25",25,0,2,4,0,6,2
"26",26,1,3,7,0,6,3
"27",27,2,3,7,0,6,3
"28",28,3,3,9,0,7,3
"29",29,4,3,9,1,9,4
"30",30,5,2,8,2,10,5
"31",31,5,1,9,2,10,5
"32",32,4,2,9,2,11,4
"33",33,4,2,11,2,10,4
"34",34,4,2,14,2,11,4
"35",35,4,3,17,2,16,4
"36",36,5,5,19,1,16,5
"37",37,4,5,18,1,14,5
"38",38,5,5,17,1,16,5
"39",39,6,7,20,1,18,7
"40",40,6,7,21,1,16,7
"41",41,8,8,20,2,17,8
"42",42,8,7,19,2,17,8
"43",43,8,9,20,2,17,9
"44",44,8,9,20,0,16,9
"45",45,8,10,20,0,17,10
"46",46,11,12,21,0,18,12
"47",47,9,11,21,1,17,11
"48",48,10,10,21,1,19,10
"49",49,11,9,21,0,21,11
"50",50,10,9,25,0,21,10
"51",51,11,9,23,0,25,11
"52",52,11,9,24,1,22,11
"53",53,14,9,20,1,20,14
"54",54,14,8,21,2,19,14
"55",55,15,9,21,3,20,15
"56",56,12,8,21,3,16,12
"57",57,11,8,19,3,16,11
"58",58,10,10,22,3,18,10
"59",59,9,10,22,4,18,10
"60",60,8,10,25,4,18,10
"61",61,9,11,23,2,21,11
"62",62,11,11,25,2,20,11
"63",63,11,12,21,2,20,12
"64",64,10,11,21,2,21,11
"65",65,10,9,19,2,18,10
"66",66,10,12,21,2,19,12
"67",67,10,12,20,3,17,12
"68",68,11,15,20,3,17,15
"69",69,12,15,18,3,15,15
"70",70,14,14,18,4,17,14
"71",71,15,15,17,5,15,15
"72",72,16,15,17,6,15,15
"73",73,17,12,18,6,16,16
"74",74,16,12,16,6,16,16
"75",75,19,12,17,9,13,13
"76",76,20,13,17,9,12,13
"77",77,24,13,16,10,12,13
"78",78,24,15,18,13,11,15
"79",79,22,17,20,14,12,17
"80",80,20,18,23,15,14,18
"81",81,24,20,22,21,14,21
"82",82,27,20,22,22,15,22
"83",83,32,22,21,26,15,22
"84",84,33,23,17,24,14,23
"85",85,35,22,15,26,13,22
"86",86,37,21,13,26,14,21
"87",87,36,20,13,26,13,20
"88",88,37,20,12,27,15,20
"89",89,36,22,12,29,16,22
"90",90,35,18,11,30,16,18
"91",91,37,18,11,31,14,18
"92",92,38,14,12,28,15,15
"93",93,37,14,12,28,14,14
"94",94,33,11,10,28,12,12
"95",95,34,14,12,27,10,14
"96",96,36,13,11,25,8,13
"97",97,34,12,11,27,13,13
"98",98,31,11,11,31,14,14
"99",99,29,13,11,31,11,13
"100",100,29,14,11,32,12,14
"101",101,32,15,9,34,15,15
"102",102,30,15,8,28,14,15
"103",103,32,13,8,32,15,15
"104",104,33,14,8,30,13,14
"105",105,36,14,8,31,13,14
"106",106,38,12,8,31,11,12
"107",107,39,14,9,29,11,14
"108",108,35,14,7,27,10,14
"109",109,41,14,8,26,10,14
"110",110,37,14,9,26,12,14
"111",111,38,12,9,28,11,12
"112",112,36,11,9,29,9,11
"113",113,33,12,10,29,9,12
"114",114,33,12,9,29,10,12
"115",115,35,13,11,28,10,13
"116",116,34,14,10,28,9,14
"117",117,30,13,10,26,8,13
"118",118,25,17,9,28,9,17
"119",119,26,18,9,27,8,18
"120",120,25,18,9,27,7,18
"121",121,27,19,9,27,7,19
"122",122,24,23,9,26,10,23
"123",123,24,21,9,28,10,21
"124",124,26,21,9,28,9,21
"125",125,25,20,9,30,10,20
"126",126,24,21,8,28,9,21
"127",127,22,18,9,29,9,18
"128",128,24,17,10,25,7,17
"129",129,20,17,10,27,8,17
"130",130,21,19,10,27,6,19
"131",131,23,24,10,26,7,23
"132",132,22,22,11,24,7,22
"133",133,25,21,9,21,7,21
"134",134,24,19,9,21,9,19
"135",135,24,18,8,21,9,18
"136",136,24,18,8,23,9,18
"137",137,23,21,8,24,8,21
"138",138,20,19,8,24,8,19
"139",139,20,16,8,22,8,16
"140",140,16,15,8,20,8,15
"141",141,16,15,7,18,8,15
"142",142,16,16,7,17,7,16
"143",143,14,14,6,18,7,14
"144",144,13,14,6,20,5,13
"145",145,15,13,7,22,5,13
"146",146,14,12,8,23,6,12
"147",147,12,13,8,23,5,12
"148",148,10,15,8,23,5,10
