"","day","1","2","3","4","5","median"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0
"6",6,0,0,0,0,1,0
"7",7,0,0,0,0,1,0
"8",8,0,0,0,0,1,0
"9",9,0,0,0,0,1,0
"10",10,0,0,0,0,1,0
"11",11,0,0,0,0,1,0
"12",12,0,0,0,0,1,0
"13",13,1,0,0,0,2,0
"14",14,2,0,0,0,0,0
"15",15,2,0,0,0,0,0
"16",16,2,0,0,0,0,0
"17",17,2,1,1,0,0,1
"18",18,3,1,0,0,0,0
"19",19,1,1,0,1,0,1
"20",20,1,0,1,1,0,1
"21",21,1,0,1,1,0,1
"22",22,2,0,2,3,0,2
"23",23,2,1,3,3,2,2
"24",24,1,1,3,4,3,3
"25",25,2,2,3,4,3,3
"26",26,2,4,4,7,2,4
"27",27,3,6,6,9,2,6
"28",28,4,5,9,7,3,5
"29",29,6,6,9,8,4,6
"30",30,7,8,8,8,6,8
"31",31,11,9,8,7,9,9
"32",32,14,10,12,8,11,11
"33",33,16,14,10,9,11,11
"34",34,19,19,14,10,9,14
"35",35,20,25,16,12,10,16
"36",36,24,27,18,15,13,18
"37",37,28,26,18,16,15,18
"38",38,27,28,19,18,14,19
"39",39,33,31,26,20,16,26
"40",40,42,31,27,19,23,27
"41",41,52,34,31,19,20,31
"42",42,51,35,37,21,28,35
"43",43,53,38,40,26,28,38
"44",44,59,43,41,29,29,41
"45",45,64,47,43,30,35,43
"46",46,70,52,47,31,36,47
"47",47,84,51,53,31,43,51
"48",48,89,51,53,31,44,51
"49",49,85,58,57,32,47,57
"50",50,79,60,63,31,54,60
"51",51,73,62,66,35,59,62
"52",52,72,67,66,35,59,66
"53",53,80,72,71,37,64,71
"54",54,89,73,74,38,69,73
"55",55,96,76,75,43,70,75
"56",56,96,87,79,48,72,79
"57",57,100,92,86,49,79,86
"58",58,108,97,92,54,88,92
"59",59,111,106,87,56,93,93
"60",60,122,106,96,60,95,96
"61",61,135,119,98,62,97,98
"62",62,147,121,103,67,95,103
"63",63,155,126,105,73,105,105
"64",64,172,136,109,74,109,109
"65",65,178,140,113,74,123,123
"66",66,179,141,126,77,136,136
"67",67,178,157,130,82,150,150
"68",68,190,167,127,81,160,160
"69",69,206,182,133,95,178,178
"70",70,223,200,139,107,180,180
"71",71,234,209,160,106,200,200
"72",72,235,230,161,115,210,210
"73",73,236,250,169,117,223,223
"74",74,256,268,183,110,226,226
"75",75,281,292,195,117,245,245
"76",76,301,300,210,117,258,258
"77",77,318,319,223,126,267,267
"78",78,342,345,252,142,283,283
"79",79,362,357,268,158,297,297
"80",80,355,385,282,167,328,328
"81",81,377,399,300,169,356,356
"82",82,389,405,320,184,405,389
"83",83,406,432,347,192,428,406
"84",84,443,473,361,209,445,443
"85",85,463,486,376,223,470,463
"86",86,522,511,414,236,486,486
"87",87,524,537,451,248,496,496
"88",88,560,564,474,242,526,526
"89",89,608,588,510,260,550,550
"90",90,644,622,544,267,580,580
"91",91,671,677,561,303,617,617
"92",92,707,725,600,322,651,651
"93",93,752,783,639,335,678,678
"94",94,808,817,673,353,709,709
"95",95,851,843,711,380,772,772
"96",96,898,878,758,405,806,806
"97",97,966,943,793,424,859,859
"98",98,1006,999,841,438,909,909
"99",99,1058,1038,881,475,954,954
"100",100,1120,1105,927,503,1018,1018
"101",101,1187,1161,977,525,1053,1053
"102",102,1214,1242,1037,549,1100,1100
"103",103,1314,1309,1092,565,1125,1125
"104",104,1345,1395,1132,626,1217,1217
"105",105,1413,1478,1189,641,1246,1246
"106",106,1465,1537,1267,681,1344,1344
"107",107,1543,1640,1307,715,1422,1422
"108",108,1636,1710,1370,744,1465,1465
"109",109,1740,1790,1463,791,1547,1547
"110",110,1821,1862,1559,819,1614,1614
"111",111,1892,2022,1620,866,1716,1716
"112",112,1974,2114,1717,910,1815,1815
"113",113,2074,2225,1774,951,1881,1881
"114",114,2138,2265,1877,1014,1937,1937
"115",115,2238,2367,1987,1039,2018,2018
"116",116,2333,2476,2055,1111,2123,2123
"117",117,2409,2603,2182,1170,2228,2228
"118",118,2562,2715,2268,1243,2321,2321
"119",119,2720,2831,2341,1323,2443,2443
"120",120,2852,2965,2451,1365,2566,2566
"121",121,2962,3078,2573,1425,2668,2668
"122",122,3113,3161,2708,1467,2802,2802
"123",123,3299,3275,2879,1542,2997,2997
"124",124,3398,3382,2958,1629,3079,3079
"125",125,3566,3487,3104,1724,3291,3291
"126",126,3681,3596,3249,1812,3392,3392
"127",127,3821,3709,3393,1930,3476,3476
"128",128,4019,3844,3561,2023,3571,3571
"129",129,4172,3947,3697,2126,3691,3697
"130",130,4288,4138,3858,2194,3785,3858
"131",131,4404,4292,3955,2298,3925,3955
"132",132,4567,4383,4063,2395,4068,4068
"133",133,4688,4545,4236,2525,4252,4252
"134",134,4841,4754,4374,2613,4391,4391
"135",135,4976,4972,4527,2717,4531,4531
